className;stack;average;repetitions
CuckooHashTable;1024;178;100
CuckooHashTable;2048;168;100
CuckooHashTable;4096;165;100
CuckooHashTable;8192;163;100
CuckooHashTable;12288;166;100
CuckooHashTable;16384;163;100
CuckooHashTable;24576;164;100
CuckooHashTable;32768;179;100
HashTableArray;1024;339;100
HashTableArray;2048;405;100
HashTableArray;4096;422;100
HashTableArray;8192;508;100
HashTableArray;12288;568;100
HashTableArray;16384;575;100
HashTableArray;24576;614;100
HashTableArray;32768;632;100
OpenAddressing;1024;311;100
OpenAddressing;2048;327;100
OpenAddressing;4096;410;100
OpenAddressing;8192;474;100
OpenAddressing;12288;495;100
OpenAddressing;16384;894;100
OpenAddressing;24576;517;100
OpenAddressing;32768;537;100
