className;stack;average;repetitions
CuckooHashTable;1024;156;100
CuckooHashTable;2048;149;100
CuckooHashTable;4096;152;100
CuckooHashTable;8192;148;100
CuckooHashTable;12288;157;100
CuckooHashTable;16384;150;100
CuckooHashTable;24576;150;100
CuckooHashTable;32768;163;100
HashTableArray;1024;392;100
HashTableArray;2048;405;100
HashTableArray;4096;391;100
HashTableArray;8192;666;100
HashTableArray;12288;626;100
HashTableArray;16384;716;100
HashTableArray;24576;630;100
HashTableArray;32768;665;100
OpenAddressing;1024;362;100
OpenAddressing;2048;341;100
OpenAddressing;4096;423;100
OpenAddressing;8192;794;100
OpenAddressing;12288;560;100
OpenAddressing;16384;606;100
OpenAddressing;24576;603;100
OpenAddressing;32768;627;100
